"","gene_id","gene_type"
"145","ENSMUSG00000061584","protein_coding"
"146","ENSMUSG00000026085","protein_coding"
"147","ENSMUSG00000058407","protein_coding"
"148","ENSMUSG00000026083","protein_coding"
"149","ENSMUSG00000026082","protein_coding"
"150","ENSMUSG00000037138","protein_coding"
"151","ENSMUSG00000048814","protein_coding"
"152","ENSMUSG00000026080","protein_coding"
"153","ENSMUSG00000067604","protein_coding"
"154","ENSMUSG00000026078","protein_coding"
"155","ENSMUSG00000026077","protein_coding"
"156","ENSMUSG00000073702","protein_coding"
"157","ENSMUSG00000003134","protein_coding"
"158","ENSMUSG00000003135","protein_coding"
"159","ENSMUSG00000048234","protein_coding"
"160","ENSMUSG00000050967","protein_coding"
"161","ENSMUSG00000057173","protein_coding"
"162","ENSMUSG00000026074","protein_coding"
"163","ENSMUSG00000026073","protein_coding"
"164","ENSMUSG00000026072","protein_coding"
"165","ENSMUSG00000070942","protein_coding"
"166","ENSMUSG00000026069","protein_coding"
"167","ENSMUSG00000026070","protein_coding"
"168","ENSMUSG00000026068","protein_coding"
"169","ENSMUSG00000026065","protein_coding"
"170","ENSMUSG00000026062","protein_coding"
"171","ENSMUSG00000041945","protein_coding"
"172","ENSMUSG00000079588","protein_coding"
"173","ENSMUSG00000045515","protein_coding"
"174","ENSMUSG00000060679","protein_coding"
"175","ENSMUSG00000041907","protein_coding"
"176","ENSMUSG00000070939","protein_coding"
"177","ENSMUSG00000010290","protein_coding"
"178","ENSMUSG00000008136","protein_coding"
"179","ENSMUSG00000066877","protein_coding"
"180","ENSMUSG00000026051","protein_coding"
"181","ENSMUSG00000057363","protein_coding"
"182","ENSMUSG00000041763","protein_coding"
"183","ENSMUSG00000047343","protein_coding"
"184","ENSMUSG00000091844","protein_coding"
"185","ENSMUSG00000026049","protein_coding"
"186","ENSMUSG00000026047","protein_coding"
"187","ENSMUSG00000041684","protein_coding"
"188","ENSMUSG00000026048","protein_coding"
"189","ENSMUSG00000046828","protein_coding"
"190","ENSMUSG00000056870","protein_coding"
"191","ENSMUSG00000026043","protein_coding"
"192","ENSMUSG00000026042","protein_coding"
"193","ENSMUSG00000025995","protein_coding"
"194","ENSMUSG00000025993","protein_coding"
"195","ENSMUSG00000041144","protein_coding"
"196","ENSMUSG00000101337","protein_coding"
"197","ENSMUSG00000025986","protein_coding"
